date,spy_ret1d,strategy_ret1d,final_allocation,applied_allocation,p_structural,p_shock,risk_regime,tactical_gate_on,early_struct_level,split_test_year
2020-01-02,0.00020368599655617992,0.00020368599655617992,1.0,1.0,0.0020684978542463953,4.535343219420857e-08,LOW,0,0,2020
2020-01-03,-0.0028001220652443815,-0.0028001220652443815,1.0,1.0,0.001582470032232773,4.5353432460811355e-08,LOW,0,0,2020
2020-01-06,0.0081875240025846,0.0081875240025846,1.0,1.0,0.0017893814169613403,4.535343219420873e-08,LOW,0,0,2020
2020-01-07,0.002643423178995352,0.002643423178995352,1.0,1.0,0.0021511591656197095,4.535343218236197e-08,LOW,0,0,2020
2020-01-08,0.00040346992730477815,0.00040346992730477815,1.0,1.0,0.0025103149648090383,4.5353432182361814e-08,LOW,0,0,2020
2020-01-09,-0.00026466063452901256,-0.00026466063452901256,1.0,1.0,0.002456073734730136,4.535343218236197e-08,LOW,0,0,2020
2020-01-10,-0.0007832894149879532,-0.0007832894149879532,1.0,1.0,0.0015765309005579518,4.5353432460811355e-08,LOW,0,0,2020
2020-01-13,-0.012659301005572776,-0.012659301005572776,1.0,1.0,0.0017982057026775724,4.535343219420873e-08,LOW,0,0,2020
2020-01-14,0.012997350602613311,0.012997350602613311,1.0,1.0,0.0023973705589476085,4.535343218236197e-08,LOW,0,0,2020
2020-01-15,0.006856323556015731,0.006856323556015731,1.0,1.0,0.0023658163485584254,4.535343218236197e-08,LOW,0,0,2020
2020-01-16,0.0025553040725871945,0.0025553040725871945,1.0,1.0,0.0026320645056732666,4.535343218236197e-08,LOW,0,0,2020
2020-01-17,-0.003127110948320855,-0.003127110948320855,1.0,1.0,0.0020661687960990736,4.5353432460811355e-08,LOW,0,0,2020
2020-01-21,-0.005271091432480723,-0.005271091432480723,1.0,1.0,0.002593632241516635,4.535343218236197e-08,LOW,0,0,2020
2020-01-22,-0.001362085813928604,-0.001362085813928604,1.0,1.0,0.0019244853122101157,4.5353432460811355e-08,LOW,0,0,2020
2020-01-23,-0.005189344148623265,-0.005189344148623265,1.0,1.0,0.0020499170223653275,4.535343219420873e-08,LOW,0,0,2020
2020-01-24,-0.009611435854368633,-0.009611435854368633,1.0,1.0,0.0020798211952543695,4.5353432460811355e-08,LOW,0,0,2020
2020-01-27,-0.001400744017958755,-0.001400744017958755,1.0,1.0,0.003554505841456264,4.535343218236197e-08,LOW,0,0,2020
2020-01-28,0.002167850633682189,0.002167850633682189,1.0,1.0,0.004544688896168154,4.535343218236197e-08,LOW,0,0,2020
2020-01-29,0.002689751107400884,0.002689751107400884,1.0,1.0,0.004650540417004486,4.535343218236197e-08,LOW,0,0,2020
2020-01-30,-0.007745197614515309,-0.007745197614515309,1.0,1.0,0.002930803415730024,4.535343218236197e-08,LOW,0,0,2020
2020-01-31,-0.004917819706940385,-0.004917819706940385,1.0,1.0,0.0035477018343413745,4.535343218236197e-08,LOW,0,0,2020
2020-02-03,0.006885815520188077,0.006885815520188077,1.0,1.0,0.003310343599409992,4.535343218236197e-08,LOW,0,0,2020
2020-02-04,0.007550134030493538,0.007550134030493538,1.0,1.0,0.0034387054200506087,4.535343218236197e-08,LOW,0,0,2020
2020-02-05,0.014273743601193933,0.014273743601193933,1.0,1.0,0.0019958130179811725,4.5353432460811355e-08,LOW,0,0,2020
2020-02-06,0.005443160074631859,0.005443160074631859,1.0,1.0,0.0028902436434495565,4.535343218236197e-08,LOW,0,0,2020
2020-02-07,-0.0046061048404371085,-0.0046061048404371085,1.0,1.0,0.003462007180138645,4.535343218236197e-08,LOW,0,0,2020
2020-02-10,0.009115469447465552,0.009115469447465552,1.0,1.0,0.0032755398781370193,4.535343218236197e-08,LOW,0,0,2020
2020-02-11,-0.0016629824245129043,-0.0016629824245129043,1.0,1.0,0.002387885862695616,4.535343218236197e-08,LOW,0,0,2020
2020-02-12,0.0028104882681561083,0.0028104882681561083,1.0,1.0,0.0026450532554045092,4.535343218236197e-08,LOW,0,0,2020
2020-02-13,-0.0026292037701178828,-0.0026292037701178828,1.0,1.0,0.002169683167048272,4.535343219420873e-08,LOW,0,0,2020
2020-02-14,0.003303462709408178,0.003303462709408178,1.0,1.0,0.0025062343436880034,4.535343218236197e-08,LOW,0,0,2020
2020-02-18,0.008489199874993858,0.008489199874993858,1.0,1.0,0.0036307078827798648,4.535343218236197e-08,LOW,0,0,2020
2020-02-19,0.007691355500738739,0.007691355500738739,1.0,1.0,0.003359829106764352,4.535343218236197e-08,LOW,0,0,2020
2020-02-20,-0.00020872335355293092,-0.00020872335355293092,1.0,1.0,0.003326489256834026,4.535343218236197e-08,LOW,0,0,2020
2020-02-21,0.0059059327202952705,0.0059059327202952705,1.0,1.0,0.0035359401783932854,4.535343218236197e-08,LOW,0,0,2020
2020-02-24,-0.011831261977388374,-0.011831261977388374,1.0,1.0,0.03675004773258123,4.535343104208989e-08,LOW,0,0,2020
2020-02-25,-0.02427063891351433,-0.02427063891351433,1.0,1.0,0.09658148684664837,4.535343231201164e-08,LOW,0,0,2020
2020-02-26,0.006647979029448248,0.006647979029448248,1.0,1.0,0.07223234226349436,4.535343207147885e-08,LOW,0,0,2020
2020-02-27,-0.026601398443954483,-0.026601398443954483,1.0,1.0,0.17592731546624807,4.535343231201164e-08,LOW,0,0,2020
2020-02-28,-0.014183517586425332,-0.014183517586425332,0.3,1.0,0.20211301542956184,4.5353431793029466e-08,LOW,0,0,2020
2020-03-02,0.028821137922678153,0.008506341376803447,1.0,0.3,0.14210845159695762,4.5353431793029466e-08,LOW,0,0,2020
2020-03-03,0.0006004811228912388,0.0004604811228912388,1.0,1.0,0.15668973284550827,4.5353431793029466e-08,LOW,0,0,2020
2020-03-04,0.026671045048530573,0.026671045048530573,1.0,1.0,0.059098336238951776,4.5353432460811355e-08,LOW,0,0,2020
2020-03-05,0.0004990587325235385,0.0004990587325235385,1.0,1.0,0.07772720032539746,4.535343218236197e-08,LOW,0,0,2020
2020-03-06,-0.010911724635151443,-0.010911724635151443,1.0,1.0,0.07811866947195809,4.535343218236197e-08,LOW,0,0,2020
2020-03-09,-0.04302199661504569,-0.04302199661504569,1.0,1.0,0.1825225574562699,4.535343231201164e-08,LOW,0,0,2020
2020-03-10,0.00362217141954968,0.00362217141954968,1.0,1.0,0.19888470158840074,4.535343218236197e-08,LOW,0,0,2020
2020-03-11,-0.03673290567779308,-0.03673290567779308,0.3,1.0,0.2509515722160007,4.535343231201164e-08,LOW,0,0,2020
2020-03-12,-0.07339365887344207,-0.02215809766203262,0.3,0.3,0.2665674980414903,4.535343231201164e-08,LOW,0,0,2020
2020-03-13,0.008742616625265542,0.0026227849875796625,0.3,0.3,0.2673463402496452,4.5353431793029466e-08,LOW,0,0,2020
2020-03-16,-0.049649527407454874,-0.014894858222236462,0.3,0.3,0.2721768473273818,4.535343231201164e-08,LOW,0,0,2020
2020-03-17,0.043248696164409406,0.01297460884932282,0.3,0.3,0.2779994587792391,4.5353431793029466e-08,LOW,0,0,2020
2020-03-18,-0.03937350486226987,-0.01181205145868096,0.3,0.3,0.2709843398422909,4.535343241573377e-08,LOW,0,0,2020
2020-03-19,0.01646173132579487,0.004938519397738461,0.3,0.3,0.2741474090113594,4.535343218236197e-08,LOW,0,0,2020
2020-03-20,-0.007902444138564446,-0.002370733241569334,0.3,0.3,0.28328514677124056,4.535343076364069e-08,LOW,0,0,2020
2020-03-23,0.019716964376753632,0.0059150893130260895,0.3,0.3,0.27978580694911004,4.5353431793029466e-08,LOW,0,0,2020
2020-03-24,0.0627363528995033,0.01882090586985099,0.3,0.3,0.2739494232963517,4.535343218236197e-08,LOW,0,0,2020
2020-03-25,-0.0016433925142148587,-0.0004930177542644575,0.3,0.3,0.17400923907081808,4.535343218236197e-08,LOW,0,0,2020
2020-03-26,0.02621547195267837,0.00786464158580351,0.75,0.3,0.12272625109955848,4.535343218236197e-08,LOW,0,0,2020
2020-03-27,-0.018511301564527516,-0.013973476173395637,0.3,0.75,0.20628132732852233,4.535343218236197e-08,LOW,0,0,2020
2020-03-30,0.01806312203854432,0.005328936611563297,0.3,0.3,0.16625213142859066,4.535343218236197e-08,LOW,0,2,2020
2020-03-31,-0.020472212444133997,-0.006141663733240199,0.3,0.3,0.14484215092836786,4.5353431152973175e-08,LOW,0,2,2020
2020-04-01,-0.016229167739630124,-0.004868750321889037,0.75,0.3,0.1252172288188382,4.5353431152973175e-08,LOW,0,2,2020
2020-04-02,0.028521901755319545,0.02130142631648966,0.75,0.75,0.16488352601582415,4.5353431152973175e-08,LOW,0,2,2020
2020-04-03,-0.005113639372707368,-0.003835229529530526,0.75,0.75,0.13692395517137165,4.535343218236197e-08,LOW,0,2,2020
2020-04-06,0.04621736751973615,0.034663025639802114,1.0,0.75,0.1061541572959811,4.535343218236197e-08,LOW,0,2,2020
2020-04-07,-0.012951756333130504,-0.013001756333130504,1.0,1.0,0.08805183828179936,4.5353432448964594e-08,LOW,0,1,2020
2020-04-08,0.014022154274167642,0.014022154274167642,1.0,1.0,0.07247016147892836,4.5353432460811355e-08,LOW,0,1,2020
2020-04-09,0.024592784860043126,0.024592784860043126,1.0,1.0,0.0916387855059464,4.5353432182361814e-08,LOW,0,1,2020
2020-04-13,0.012616551414136978,0.012616551414136978,1.0,1.0,0.09630064227310864,4.535343125669497e-08,LOW,0,1,2020
2020-04-14,0.022427436036654536,0.022427436036654536,1.0,1.0,0.09260638377377628,5.012345251625954e-08,LOW,0,0,2020
2020-04-15,-0.016306912953488628,-0.016306912953488628,1.0,1.0,0.08619464734979924,4.535343152329743e-08,LOW,0,1,2020
2020-04-16,0.015932747667697145,0.015932747667697145,1.0,1.0,0.09267578171130371,4.5353432182361814e-08,LOW,0,1,2020
2020-04-17,0.01566613660356797,0.01566613660356797,1.0,1.0,0.07067206710507813,4.535343246081119e-08,LOW,0,0,2020
2020-04-20,0.017106542439588868,0.017106542439588868,1.0,1.0,0.07202337255318018,4.535343219420857e-08,LOW,0,0,2020
2020-04-21,-0.01941178894676432,-0.01941178894676432,1.0,1.0,0.09595701401310906,4.535343126854172e-08,LOW,0,1,2020
2020-04-22,0.019601073267171643,0.019601073267171643,1.0,1.0,0.09688951562878356,4.5353432182361814e-08,LOW,0,0,2020
2020-04-23,0.004993155752875067,0.004993155752875067,1.0,1.0,0.10917937245612201,4.5353432182361814e-08,LOW,0,0,2020
2020-04-24,0.014466681951158744,0.014466681951158744,1.0,1.0,0.12334907341215162,4.5353432182361814e-08,LOW,0,0,2020
2020-04-27,0.0033991916861682014,0.0033991916861682014,1.0,1.0,0.10404242121505697,4.5353432182361814e-08,LOW,0,0,2020
2020-04-28,-0.015374054802502535,-0.015374054802502535,1.0,1.0,0.10014539812793484,4.5353432182361814e-08,LOW,0,0,2020
2020-04-29,0.006334533313384849,0.006334533313384849,1.0,1.0,0.09985314725715357,4.5353432182361814e-08,LOW,0,0,2020
2020-04-30,-0.02119257484941417,-0.02119257484941417,1.0,1.0,0.1177863310107623,4.5352938526951216e-08,LOW,0,0,2020
2020-05-01,-0.009062819816903156,-0.009062819816903156,1.0,1.0,0.10956945281690073,4.535343125669497e-08,LOW,0,0,2020
2020-05-04,0.023429533149396553,0.023429533149396553,1.0,1.0,0.11761025431032947,4.5353432182361814e-08,LOW,0,0,2020
2020-05-05,0.014342792235261692,0.014342792235261692,1.0,1.0,0.10055357363948099,4.5353432182361814e-08,LOW,0,0,2020
2020-05-06,-0.00620512046842836,-0.00620512046842836,1.0,1.0,0.12317402276125755,4.535343125669497e-08,LOW,0,0,2020
2020-05-07,0.009673753316012279,0.009673753316012279,1.0,1.0,0.10537311618896317,4.535343218236197e-08,LOW,0,0,2020
2020-05-08,0.0036308953498565,0.0036308953498565,1.0,1.0,0.09655564097435516,4.5353432182361814e-08,LOW,0,0,2020
2020-05-11,0.019662228367691936,0.019662228367691936,1.0,1.0,0.08845202445175641,4.5353432448964435e-08,LOW,0,0,2020
2020-05-12,-0.010476651586016072,-0.010476651586016072,1.0,1.0,0.07227915752240166,4.5353431431422386e-08,LOW,0,0,2020
2020-05-13,-0.003981931279969153,-0.003981931279969153,1.0,1.0,0.08586552152423939,4.535343218236197e-08,LOW,0,0,2020
2020-05-14,0.0022573588898719965,0.0022573588898719965,1.0,1.0,0.09839781972914967,4.535343218236197e-08,LOW,0,0,2020
2020-05-15,0.021213795342766684,0.021213795342766684,1.0,1.0,0.11038812020925147,4.535343218236197e-08,LOW,0,0,2020
2020-05-18,0.006138895282561174,0.006138895282561174,1.0,1.0,0.09474920613473119,4.5353432448964435e-08,LOW,0,0,2020
2020-05-19,-0.0063787292361683345,-0.0063787292361683345,1.0,1.0,0.11352582166405732,4.5353432182361814e-08,LOW,0,0,2020
2020-05-20,0.012652914107735835,0.012652914107735835,1.0,1.0,0.11266760684774395,4.5353432182361814e-08,LOW,0,0,2020
2020-05-21,-0.012688650142977154,-0.012688650142977154,1.0,1.0,0.10643642766691004,4.5353432182361814e-08,LOW,0,0,2020
2020-05-22,0.006898730080882931,0.006898730080882931,1.0,1.0,0.09373784022762448,4.5353432448964435e-08,LOW,0,0,2020
2020-05-26,-0.02000374318021514,-0.02000374318021514,1.0,1.0,0.09484827625457938,4.5353432182361814e-08,LOW,0,0,2020
2020-05-27,0.0027074771490336325,0.0027074771490336325,1.0,1.0,0.0991427950196438,4.535343218236197e-08,LOW,0,0,2020
2020-05-28,0.0002402728549464328,0.0002402728549464328,1.0,1.0,0.10549945150602762,4.5353432182361814e-08,LOW,0,0,2020
2020-05-29,0.011455372889193072,0.011455372889193072,1.0,1.0,0.09255930406915647,4.5353432448964435e-08,LOW,0,0,2020
