warning_level,signal_stage,warning_sources,days,first_date,last_date
WATCH,WATCH,high_hurst|sentiment_factor|shortterm_watch_guard,70,2016-05-05,2025-02-21
WATCH,WATCH,high_hurst|shortterm_watch_guard,205,2016-03-28,2025-02-04
SHORT_TERM,PREWARNING,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,17,2016-01-05,2025-01-13
SHORT_TERM,PREWARNING,high_hurst|lead10_structural_switch_plus_early_guard|sentiment_factor|shortterm_early_guard,27,2016-01-04,2024-12-19
SHORT_TERM,PREWARNING,high_hurst|shortterm_dd_momentum,9,2019-05-10,2024-11-15
SHORT_TERM,DAMAGE_CONTROL,hard_dd_guard_lvl1|high_hurst|shortterm_dd_momentum,161,2016-01-22,2024-08-12
SHORT_TERM,DAMAGE_CONTROL,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,38,2016-01-06,2024-08-08
SHORT_TERM,PREWARNING,high_hurst|shortterm_dd_momentum|shortterm_trend_guard|trend_score_guard,1,2024-08-07,2024-08-07
SHORT_TERM,PREWARNING,high_hurst|sentiment_factor|shortterm_dd_momentum|shortterm_trend_guard|trend_score_guard,19,2016-01-07,2024-08-05
SHORT_TERM,PREWARNING,hard_dd_guard_lvl1|high_hurst|shortterm_dd_momentum,27,2016-01-14,2023-10-31
SHORT_TERM,DAMAGE_CONTROL,high_hurst|lead10_structural_switch_plus_early_guard|sentiment_factor|shortterm_early_guard,20,2018-03-22,2023-10-27
SHORT_TERM,PREWARNING,hard_dd_guard_lvl1|high_hurst|sentiment_factor|shortterm_dd_momentum,7,2018-05-29,2023-10-19
SHORT_TERM,DAMAGE_CONTROL,hard_dd_guard_lvl1|high_hurst|sentiment_factor|shortterm_dd_momentum,2,2022-03-01,2023-09-28
SHORT_TERM,PREWARNING,high_hurst|sentiment_factor|shortterm_dd_momentum,12,2016-05-04,2023-08-04
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule,198,2016-01-20,2023-03-24
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|sentiment_factor|shortterm_early_guard,22,2016-01-15,2023-03-15
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|sentiment_factor|shortterm_dd_momentum|shortterm_trend_guard|trend_score_guard,7,2016-02-11,2023-03-10
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|sentiment_factor,3,2022-09-13,2023-03-09
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|shortterm_early_guard,39,2016-01-19,2023-02-27
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead10_probability|lead5_probability|reduce_rule,10,2022-05-10,2022-10-14
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|shortterm_trend_guard|trend_score_guard,1,2022-10-10,2022-10-10
HIGH,DAMAGE_CONTROL,any_track_high_risk|hard_dd_guard_lvl2|high_hurst|lead10_probability|lead5_probability|reduce_rule,5,2022-05-11,2022-09-29
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|sentiment_factor|shortterm_dd_momentum|shortterm_trend_guard,3,2016-02-08,2022-09-26
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead10_probability|reduce_rule|shortterm_dd_momentum|shortterm_trend_guard|trend_score_guard,1,2022-09-21,2022-09-21
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|shortterm_dd_momentum|shortterm_trend_guard|trend_score_guard,4,2016-01-13,2022-09-16
HIGH,DAMAGE_CONTROL,any_track_high_risk|hard_dd_guard_lvl2|high_hurst|lead10_probability|lead5_probability|reduce_rule|sentiment_factor,4,2022-05-09,2022-06-16
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|reduce_rule|shortterm_dd_momentum|shortterm_trend_guard,1,2022-02-23,2022-02-23
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead5_probability|reduce_rule,7,2020-03-26,2020-04-06
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead10_probability|lead10_second_opinion|lead5_probability|reduce_rule,7,2020-03-10,2020-03-24
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead10_probability|lead10_second_opinion|lead5_probability|reduce_rule|sentiment_factor,2,2020-03-09,2020-03-12
HIGH,DAMAGE_CONTROL,hard_dd_guard_lvl2|high_hurst|lead5_probability|reduce_rule|sentiment_factor,1,2020-02-27,2020-02-27
SHORT_TERM,PREWARNING,high_hurst|sentiment_factor|shortterm_dd_momentum|shortterm_trend_guard,1,2020-02-26,2020-02-26
WATCH,WATCH,high_hurst|lead10_probability|shortterm_watch_guard,4,2019-08-16,2019-08-28
SHORT_TERM,PREWARNING,hard_dd_guard_lvl1|high_hurst|lead10_probability|shortterm_dd_momentum,6,2018-02-13,2019-08-27
SHORT_TERM,PREWARNING,high_hurst|lead10_probability|shortterm_trend_guard|trend_score_guard|trend_score_or_trend_guard,1,2019-08-23,2019-08-23
