date,smart_warning_tier,pre_warning_tier,smart_warning_tier_10d_path,pre_warning_tier_10d_path,warning_level,signal_stage,action,warning_source,warning_sources,switch_reason
2025-02-21,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-02-20,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-19,none,none,none->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-18,none,none,warning->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-14,none,none,none->warning->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-13,none,none,warning->none->warning->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-12,none,none,warning->warning->none->warning->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-11,none,none,warning->warning->warning->none->warning->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-10,none,none,none->warning->warning->warning->none->warning->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-07,none,none,none->none->warning->warning->warning->none->warning->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-06,none,none,none->none->none->warning->warning->warning->none->warning->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-05,none,none,none->none->none->none->warning->warning->warning->none->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-02-04,warning,none,none->none->none->none->none->warning->warning->warning->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-02-03,none,none,none->none->none->none->none->none->warning->warning->warning->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-31,warning,none,none->none->none->none->none->none->none->warning->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-01-30,warning,none,none->none->none->none->none->none->none->none->warning->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-01-29,warning,none,none->none->none->none->none->none->none->none->none->warning,none->none->none->none->none->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-01-28,none,none,warning->none->none->none->none->none->none->none->none->none,none->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-27,none,none,none->warning->none->none->none->none->none->none->none->none,warning->none->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-24,none,none,warning->none->warning->none->none->none->none->none->none->none,none->warning->none->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-23,none,none,none->warning->none->warning->none->none->none->none->none->none,none->none->warning->none->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-22,none,none,none->none->warning->none->warning->none->none->none->none->none,none->none->none->warning->none->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-21,none,none,none->none->none->warning->none->warning->none->none->none->none,none->none->none->none->warning->none->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-17,none,none,warning->none->none->none->warning->none->warning->none->none->none,none->none->none->none->none->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-16,none,none,none->warning->none->none->none->warning->none->warning->none->none,warning->none->none->none->none->none->warning->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-15,none,none,none->none->warning->none->none->none->warning->none->warning->none,warning->warning->none->none->none->none->none->warning->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-14,warning,none,warning->none->none->warning->none->none->none->warning->none->warning,none->warning->warning->none->none->none->none->none->warning->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-01-13,none,warning,none->warning->none->none->warning->none->none->none->warning->none,none->none->warning->warning->none->none->none->none->none->warning,SHORT_TERM,PREWARNING,SHORT_TERM_WARNING_EARLY,lead10_structural_switch_plus_early_guard,high_hurst|lead10_structural_switch_plus_early_guard|shortterm_early_guard,high_hurst|shortterm_early_guard
2025-01-10,warning,none,none->none->warning->none->none->warning->none->none->none->warning,none->none->none->warning->warning->none->none->none->none->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
2025-01-08,none,none,none->none->none->warning->none->none->warning->none->none->none,none->none->none->none->warning->warning->none->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-07,none,none,warning->none->none->none->warning->none->none->warning->none->none,none->none->none->none->none->warning->warning->none->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-06,none,none,warning->warning->none->none->none->warning->none->none->warning->none,none->none->none->none->none->none->warning->warning->none->none,NONE,NONE,HOLD_STRATEGIC,NONE,NONE,high_hurst
2025-01-03,warning,none,none->warning->warning->none->none->none->warning->none->none->warning,warning->none->none->none->none->none->none->warning->warning->none,WATCH,WATCH,SHORT_TERM_WATCH,shortterm_watch_guard,high_hurst|shortterm_watch_guard,high_hurst|shortterm_watch_guard
