date,p_structural,p_shock,early_score_raw,early_score,early_score_q20_thr,early_score_q10_thr,early_struct_level,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,ibb_risk_score,ibb_risk_weight,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,tactical_gate_on,early_struct_multiplier,final_allocation,allocation_action,guardrail_applied,guardrail_cap,guardrail_reasons,drawdown_252,ret5d,vol20,hurst_100
2026-03-02,0.0025498863555663306,0.0329121163466154,0.23200198388129872,0.5577417326653968,0.65843544100232,0.8210599356895838,0,0,LOW,0.08835448166847863,0.04166666666666667,0.0,0.0,0.0,0.0,BULL,0.6,0.0,0.05,0.007906000111460101,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,1.0,,0.013659434547431237,0.0052755396601049664,0.00810914457774493,0.7776171538398209
2026-02-27,0.002550543155798254,0.03233348105075725,0.42678135046161353,0.6051048233061498,0.658478695450437,0.8210606368072227,0,0,LOW,0.08835448166847863,0.04166666666666667,0.0,0.0,0.0,0.0,NEUTRAL,1.0,0.0,0.05,0.012974571419033902,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.013659434547431237,-0.004989632708108704,0.008205749564021033,0.77821791299097
2026-02-26,0.0022943513471022554,0.041229084861214425,0.20768956154561974,0.5517365527948909,0.6585219498985541,0.8210613379248617,0,0,LOW,0.085,0.04166666666666667,0.0,0.0,0.0,0.0,BULL,0.6,0.0,0.05,0.009552904846224907,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.008900203494402903,0.007041852883583166,0.008164383184002949,0.7766909609636539
2026-02-25,0.0022018921577783134,0.026143012771729406,0.07203980249122682,0.5180021657597803,0.6585652043466711,0.8210620390425006,0,0,LOW,0.085,0.04166666666666667,0.0,0.0,0.0,0.0,BULL,0.6,0.0,0.05,0.006348770623596717,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.003364485259556238,0.009995842291675494,0.008082324338955636,0.7767970202341409
2026-02-24,0.0024186975912951552,0.03251390859301402,0.011674187507384526,0.5029185137307155,0.658608458794788,0.8210627401601396,0,0,LOW,0.0865619997400008,0.04166666666666667,0.0,0.0,0.0,0.0,BULL,0.6,0.0,0.05,0.007771212865138054,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.011703999716364488,0.006590027327948,0.007827257589214744,0.776361870036297
2026-02-23,0.0029592089959406443,0.033108333795512444,-0.00323661740188802,0.49919084635589833,0.6586517132429051,0.8210634412777785,0,2,LOW,0.19134496645124321,0.08929135884790496,0.14207521793663747,0.20601269479376855,0.03272516950627357,0.18236504794870875,NEUTRAL,1.0,0.0,0.05,0.013511402675790773,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,1,1.0,0.8,LIGHT_REDUCE,0,,,0.01883560621990099,0.0009387820292445781,0.007687592406418486,0.7770859369538331
2026-02-20,0.004838710728346677,0.02552037233532778,-0.24074431536251933,0.44010293407284934,0.6586771972608293,0.8210641423954175,0,0,LOW,0.1348281638676391,0.09192886404452463,0.14207521793663747,0.2208762711856266,0.03272516950627357,0.19291506873518752,BULL,0.6,0.0,0.05,0.007246375374474037,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.008713277895705751,0.011265115769389489,0.007451026732005915,0.7789865373611057
2026-02-19,0.005760679219642119,0.031729510038128655,-0.20965756232521196,0.4477767644105598,0.6586937960636572,0.8210648435130563,0,0,LOW,0.1428735048109906,0.09642993542143415,0.14207521793663747,0.22411343375653625,0.03272516950627357,0.21091935424282554,NEUTRAL,1.0,0.0,0.05,0.014849770006112407,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.01583057976422453,0.004711730804929148,0.007257929599811576,0.780123026773385
2026-02-18,0.006770842833723256,0.025700568045501845,-0.10675184731256344,0.4733373538944677,0.658710394866485,0.8210655446306953,0,0,LOW,0.1483387599438778,0.0965013825067337,0.14207521793663747,0.237250864565143,0.03272516950627357,0.21120514258402373,NEUTRAL,1.0,0.0,0.05,0.013396246657845763,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.013228101534474845,-0.008194178515036454,0.007337239836457447,0.7817820651073486
2026-02-17,0.007754839647247688,0.025337827518887673,-0.051210007546552055,0.48720029522245584,0.6587269936693128,0.8210662457483342,0,1,LOW,0.21269150910760443,0.19211078141054494,0.2158234563152575,-0.06123002878723721,0.0900849104674225,0.24484306820346868,NEUTRAL,1.0,0.0,0.05,0.013908885402321682,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.01817425818620033,-0.01339365947617277,0.007703019763347949,0.7832468382270524
