struct_high_cut,struct_risk_cut,shock_high_cut,shock_risk_cut,base_bins,base_allocs,alloc_shock_high_cut,alloc_shock_risk_cut,tactical_multipliers,cagr_impact,max_drawdown_reduction,strategy_annualized_return,strategy_max_drawdown,avg_final_allocation,acceptance_pass
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.0711563981037302,0.40098878917922326,0.1301483484526651,-0.11234597627881826,0.8669916142557651,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.0711563981037302,0.40098878917922326,0.1301483484526651,-0.11234597627881826,0.8669916142557651,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.0711563981037302,0.40098878917922326,0.1301483484526651,-0.11234597627881826,0.8669916142557651,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.06691780424176019,0.39434271609733396,0.1343869423146351,-0.11359246308126414,0.8727463312368972,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.06691780424176019,0.39434271609733396,0.1343869423146351,-0.11359246308126414,0.8727463312368972,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.8, 0.6, 0.3, 0.1]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.06691780424176019,0.39434271609733396,0.1343869423146351,-0.11359246308126414,0.8727463312368972,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.0690145661746635,0.3794747065852575,0.1322901803817318,-0.11638099360253473,0.8719811320754717,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.7,0.5,"[1.0, 0.85, 0.7, 0.55]",0.0690145661746635,0.3794747065852575,0.1322901803817318,-0.11638099360253473,0.8719811320754717,False
0.85,0.7,0.85,0.6,"[0.2, 0.4, 0.6, 0.8]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.6,0.4,"[1.0, 0.85, 0.7, 0.55]",0.0690145661746635,0.3794747065852575,0.1322901803817318,-0.11638099360253473,0.8719811320754717,False
0.85,0.7,0.85,0.6,"[0.25, 0.45, 0.65, 0.85]","[1.0, 0.85, 0.65, 0.4, 0.2]",0.85,0.7,"[1.0, 0.85, 0.7, 0.55]",0.06510806670371339,0.37591534269247645,0.1361966798526819,-0.11704856076028147,0.8772903563941299,False
