date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2026-01-06,0.0065386533852452,0.037340630436148,0,LOW,0.21887694178724448,0.243897275845093,0.2018538258363165,-0.0409238465879686,0.2573243678267751,0.3156410375606402,BULL,0.6,0.010391607211836707,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0069867799955436,0.0058327338620384,0.7884637819234118
2026-01-05,0.008087147371685,0.0399781252687302,0,LOW,0.12343395111929754,0.0756490423209129,0.1128014630814965,0.3178379739890704,0.0099566935078305,0.1798380126943247,NEUTRAL,1.0,0.019248989635650818,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0038530000302355,-0.0001890017989777,0.0057141285595284,0.7893549085827996
2026-01-02,0.0095806461087901,0.0369472268922089,1,LOW,0.27785696105376817,0.3157291701878706,0.2133040427882394,-0.0805775578677394,0.3881253666130751,0.4276726397937185,NEUTRAL,1.0,0.01915894938298668,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0104435556094648,-0.0103432004080622,0.0055691378171526,0.7901192143897487
2025-12-31,0.0157963636024396,0.0418619052652427,2,LOW,0.18450500412243553,0.0652167983911193,0.0560727995852704,0.5493514847961061,0.0,0.2047943939792067,NEUTRAL,1.0,0.024919303184420684,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0122541526591464,-0.0122541526591464,0.0055728477342818,0.7912256223142132
2025-12-30,0.0062028641123072,0.0395953578360547,0,LOW,0.16558727976887105,0.1565466139011517,0.1815480795158665,0.0469329384928116,0.0634262840678961,0.2536562074315204,NEUTRAL,1.0,0.017890236915618824,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0048813625732969,-0.0013809119377419,0.0053354410132601,0.7915967958634538
2025-12-29,0.0027434144673094,0.0548975896412828,0,LOW,0.31050405728958885,0.4053861393376972,0.3595735723994565,-0.6689028201132914,0.2018905563106883,0.3359947452129012,NEUTRAL,1.0,0.02099737577820009,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0036646908644238,0.0044097928255641,0.0053256409820603,0.791737191647309
2025-12-26,0.0027070918620667,0.065295121331671,0,LOW,0.3402969636968166,0.4530929527021752,0.3744692535345849,-0.7353132684424909,0.2858821537418129,0.3725926798302275,BULL,0.6,0.01476774130585692,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0001014040437492,0.0142816825395373,0.0053725088573727,0.7916541118049497
2025-12-24,0.0042117758583971,0.1626969475722214,0,LOW,0.3657067179208516,0.487394009876602,0.3382662197049059,-0.5910849305961078,0.4795539358314655,0.4725184418066133,BULL,0.6,0.03580895157494136,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0313077115037288,0.0054736421016823,0.7960975515073356
2025-12-23,0.0057687361006205,0.0380935273341108,0,LOW,0.17492610008613335,0.1748145135918372,0.19114833722997,0.0032935849131523,0.1085943057144376,0.235593398850568,BULL,0.6,0.01024944781940526,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0163843706629773,0.005608166614001,0.7980056710055347
2025-12-22,0.0060357173232009,0.0409794386541523,0,LOW,0.15259008072984676,0.1320021429705469,0.1722977599621839,0.0805837909109592,0.0562315910816986,0.1999657132641046,BULL,0.6,0.010959611873420332,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0033610485043027,0.0089956845282122,0.0058635042991932,0.7991779551519835
