date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2026-01-06,0.0072340530236132,0.0031184023975302,0,LOW,0.15841666666666665,0.1520833333333333,0.2,-0.05,0.0,0.2,BULL,0.6,0.00347614518269049,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0069867799955436,0.0058327338620384,0.7884637819234118
2026-01-05,0.0073094945236502,0.0031184023975302,0,LOW,0.15841666666666665,0.1520833333333333,0.2,-0.05,0.0,0.2,NEUTRAL,1.0,0.0058426122795082,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0038530000302355,-0.0001890017989777,0.0057141285595284,0.7893549085827996
2026-01-02,0.008282551057659,0.0032430794380058,1,LOW,0.171884415861717,0.1520833333333333,0.2,-0.05,0.0,0.2,NEUTRAL,1.0,0.00651873599078038,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0104435556094648,-0.0103432004080622,0.0055691378171526,0.7901192143897487
2025-12-31,0.0091289397884567,0.0032430794380058,2,LOW,0.21529867977101985,0.1291666666666666,0.2,0.0,0.0,0.15,NEUTRAL,1.0,0.007068888665798885,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0122541526591464,-0.0122541526591464,0.0055728477342818,0.7912256223142132
2025-12-30,0.005852978574321,0.0031184023975302,0,LOW,0.12558333333333332,0.09375,0.15,0.0499999999999999,0.0,0.1,NEUTRAL,1.0,0.0048958769124442195,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0048813625732969,-0.0013809119377419,0.0053354410132601,0.7915967958634538
2025-12-29,0.0076944376383731,0.0031184023975302,0,LOW,0.13216666666666665,0.0958333333333333,0.2,0.1,0.0,0.1,NEUTRAL,1.0,0.006092825304078085,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0036646908644238,0.0044097928255641,0.0053256409820603,0.791737191647309
2025-12-26,0.0054424851915551,0.0031184023975302,0,LOW,0.11975,0.0729166666666666,0.15,0.15,0.0,0.1,BULL,0.6,0.002777433728187831,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0001014040437492,0.0142816825395373,0.0053725088573727,0.7916541118049497
2025-12-24,0.0054422652124808,0.0031184023975302,0,LOW,0.11975,0.0729166666666666,0.15,0.15,0.0,0.1,BULL,0.6,0.0027773479363488542,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0313077115037288,0.0054736421016823,0.7960975515073356
2025-12-23,0.0054447147952341,0.0031184023975302,0,LOW,0.11975,0.0729166666666666,0.15,0.15,0.0,0.1,BULL,0.6,0.002778303273622641,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0163843706629773,0.005608166614001,0.7980056710055347
2025-12-22,0.0056494973872448,0.0031184023975302,0,LOW,0.12266666666666667,0.0833333333333333,0.15,0.1,0.0,0.1,BULL,0.6,0.002858168484506814,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0033610485043027,0.0089956845282122,0.0058635042991932,0.7991779551519835
2025-12-19,0.0053238283031991,0.0031184023975302,0,LOW,0.14158333333333334,0.11875,0.15,0.05,0.05,0.15,NEUTRAL,1.0,0.004551929236214985,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0095315423729807,0.0012337202132666,0.0065069284885163,0.8004976230227048
2025-12-18,0.0094764301606584,0.0032430794380058,1,LOW,0.21054962002350364,0.1666666666666666,0.2,0.0,0.1,0.2,BEAR,1.5,0.010942136111594985,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0184279861226953,-0.0184279861226953,0.0065626835802335,0.8006372703529125
2025-12-17,0.010875326764072,0.0032430794380058,2,LOW,0.2882344907036001,0.1791666666666667,0.2,0.0,0.15,0.2,BEAR,1.5,0.012306060299923247,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.025784559979691,-0.0235176271136341,0.0074366415292502,0.8024823364441869
2025-12-16,0.0067440075965366,0.0032430794380058,0,LOW,0.19423434699343584,0.1916666666666666,0.2,0.0,0.2,0.2,NEUTRAL,1.0,0.00551868274105082,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0149454250426404,-0.0061049711972336,0.0069328646121396,0.8043797255238303
2025-12-15,0.0080882410863974,0.0031184023975302,0,LOW,0.2199760195494311,0.2395833333333333,0.25,-0.0499999999999999,0.25,0.25,NEUTRAL,1.0,0.006348797545293879,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0122465667811976,-0.0042420950974673,0.0072214829840824,0.8059989516864986
2025-12-12,0.008084210903858,0.0031184023975302,2,LOW,0.2703939034859732,0.2395833333333333,0.25,-0.0499999999999999,0.25,0.25,NEUTRAL,1.0,0.0063461779266432705,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0107519976294389,-0.005731415951404,0.0075747979394496,0.8074974262871318
2025-12-11,0.0077039055472143,0.0031184023975302,0,LOW,0.21791666666666665,0.2395833333333333,0.25,-0.0499999999999999,0.25,0.25,BULL,0.6,0.003659387666894919,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.006984251355768,0.0070823274940133,0.808930538257088
2025-12-10,0.0077023729916288,0.0032269282809002,0,LOW,0.21791666666666665,0.2395833333333333,0.25,-0.0499999999999999,0.25,0.25,BULL,0.6,0.0036815804057242735,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0053810284821429,0.0081228483248578,0.8107409177882138
